MARCA,MODELO,LINK,CALIDAD,Revisor,Re-revisor,Review Quality OK?,EXPLICACION,COMPOSICIÓN,ILUMINACIÓN,ENFOQUE,EXPOSICIÓN,COLOR,ANGULO,CONTEXTO,EDICION,ENCUADRE,CALIDAD DE IMAGEN
Ford,,https://www.coches.net/ford-puma-10-ecoboost-125cv-titanium-design-mhev-5p-electrico-hibrido-2022-en-madrid-60185098-covo.aspx,BIEN,Alejandro,Santiago ,OK,Muchas fotos bien detalladas y con buena iluminación.,Son foto que muestran al completo el coche y sus mandos,Bien iluminado en interior y exterior,Bien enfocado,Las fotos no están quemadas,No hay saturación excesiva,Fotos desde angulos buenos,Venta de coche,No parece estar editada,El coche está bien centrado,Están bien detalladas y sin problemas de ilumiunación
Ford,,https://www.coches.net/ford-puma-10-ecoboost-125cv-stline-mhev-auto-5p-electrico-hibrido-2023-en-madrid-60253517-covo.aspx,BIEN,Santiago,Lautaro,OK,"Muchas fotos, muestra el interior y exterior de la carrocería.",Son 5 planos generales y 15 planos detalle,"Luz artifical, hetereogénea","Bien enfocado, se dejan margenes adecuados",Exposición buena,El color se representa correctamente,"Se presenta de distintos angulos, enseñando el lateral, frontal y opuesta del coche.",Venta de coche,Marca de agua y con etiqueta ECO,Encuadre centrado al coche,Buena calidad
Ford,,https://www.coches.net/ford-puma-10-ecoboost-125cv-stline-x-mhev-5p-electrico-hibrido-2023-en-madrid-60547163-covo.aspx,MUY BIEN,Alejandro,Ramón,OK,Muchas fotos con buena iluminación.,Fotos diversas y detalle de los mandos del coche,Luz homogénea y constante en el interior y exterior,Bien enfocada sin partes borrosas,Buena exposición,No hay sobresaturación,Buen angular de distintas partes del coche,Venta de coches,No está editada,El coche no está recortado en el plano,Buena
Ford,,https://www.coches.net/ford-kuga-stline-15-ecoboost-110kw-150cv-5p-gasolina-2020-en-madrid-60142831-covo.aspx,BIEN,Ramón,Ruben,OK,Las fotos estan bien tomadas y muestran el coche en su totalidad.,Las fotos abarcan la totalidad del coche desde los diferentes angulos,Tiene una luz homogénea,Estan bien enfocadas tanto en los planos generales como detalle,"Tienen una buena exposicion, sin provocar partes quemadas ni muy oscuras",No se aprecian desviaciones de color,Fotos desde muchos angulos haciendo posible la vista del coche totalmente correcta,Venta de coches,No parecen estar editadas salvo por la marca de agua,El encuadre deja ver todo el coche,Fotos de buena calidad
Ford,,https://www.coches.net/ford-kuga-titanium-15t-ecoboost-110kw-150cv-5p-gasolina-2022-en-madrid-60174655-covo.aspx,BIEN,Ruben,Ramón,OK,"Muchas fotos, tomadas desde varios ángulos y bien iluminadas.",Fotos desde distintos planos que abarcan todos los puntos del coche,Luz homogénea que es correcta tanto en el exterior como en el interior,Las distintas fotos estan bien enfocadas,La exposicion en las fotos es buena no hay ninguna quemada o muy oscura,Las imagenes no presentan saturacion y se aprecian bien los colores,El coche se puede ver de casi todos los angulos echando quizas en falta uno de los lados del coche,Venta de coches,No presenta edicion aparte de la marca de agua,Las imagenes estan bien encuadradas y  se pueden ver bien las imagenes,Buena calidad de las imagenes con buen detalle
Ford,,https://www.coches.net/ford-puma-10-ecoboost-155cv-stline-x-mhev-5p-electrico-hibrido-2023-en-madrid-60185099-covo.aspx,REGULAR,Lautaro,Ruben,OK,19 fotos mejorables .,"5 fotos generales, 14 plano detalle, algunas tomadas con movil","Iluminación superior ligera, sombras pronunciadas","Buen enfoque en la mayoria de fotos, reflejo del fotgrafo en fotos detalle",Ligeramente sobreexpuesto en fotos detalle,Colores calidos ligeramente tenues,"Angulos exteriores correctos, angulos interiores ligeramente inclinados y cerrados",Foto en espacio interior con iluminación superior ligera,No posee edicion alguna,Fotos detalle ligeramente desencuadradas hacia los lados,"Calidad general buena, fotos detalle mejorables al ser tomados con camara de fotos y no con un movil"
Ford,,https://www.coches.net/ford-puma-10-ecoboost-155cv-stline-x-mhev-5p-electrico-hibrido-2023-en-madrid-60185101-covo.aspx,REGULAR,Adrian,Alejandro,OK,19 fotos mejorables en general.,"5 fotos generales, 14 planos detalle","Buena iluminación en las fotos exteriores, mejorable en las interiores",La mayoria de fotos muestran un buen enfoque menos en las interiores que el enfoque es mas deficiente,"La exposición varía entre las imágenes. Algunas están bien iluminadas, mientras que otras presentan zonas sobreexpuestas o subexpuestas","El color se aprecia de manera correcta en las fotos exteriores sin embargo en algunas interiores, la iluminación impide la correcta percepcion del color","Angulos buenos en general, los interiores mejorabels.",Venta de coches,No presentan edicion detallada.,"Mayormente bueno, algunas fotos interiores mal encuadradas",Calidad general buena 
Ford,,https://www.coches.net/ford-kuga-stline-15-ecoblue-88kw-120cv-5p-diesel-2022-en-madrid-60179680-covo.aspx,MUY MALA,Alejandro,Alejandro,OK,El anuncio no poseé fotos.,No hay fotos,No hay fotos,No hay fotos,No hay fotos,No hay fotos,No hay fotos,Venta de coches,No hay fotos,No hay fotos,No se puede calificar
Ford,,https://www.coches.net/km-0/ford/focus/madrid/active-10t-ecoboost-mhev-92kw-125cv-electrico-hibrido-de-km0-59960202-kovn.aspx,BIEN,Ruben,Lautaro,OK,"Bastantes fotos, la iluminación y el color fallan en general en distintas fotos.",21 fotos tomadas por varias zonas del coche,Luz no homogénea que en el exterior del coche hace que se quemen algunas zonas(en las ultimas) y que en el interior crea zonas muy oscuras,Buen enfoque,Hay mucha exposicion en algunas fotos del final y poca en las de interior,Se aprecia saturacion en algunas,los angulos tomados son buenos,Venta de coches,No presenta edicion aparte de la marca de agua,Buen encuadre general de las fotos permite ver bien,Caalidad algo mediocre
Ford,,https://www.coches.net/km-0/ford/tourneo-courier/madrid/10-ecoboost-92kw-125cv-titanium-gasolina-de-km0-60048858-kovn.aspx,BIEN,Ramón,Ruben,OK,"Muchas fotos, mostrando el coche completo.",Son fotos diversas que muestran todo el coche,La luz es homogénea y agradable a la vista,Tienen un buen enfoque que deja ver los detalles,La exposicion no genera quemados ni sombras excesivas,No se aprecia variacion  de color,Son angulos buenos y abarcan todo el coche,Venta de coches,No parecen estar editadas salvo por la marca de agua,Son encuadres adecuados y muestran las partes importantes del coche,Son de buena calidad
Ford,,https://www.coches.net/km-0/ford/focus/madrid/10-ecoboost-92kw-active-gasolina-de-km0-60179668-kovn.aspx,BIEN,Santiago,Ramón,OK,"Muchas fotos, se muestra el interior y exterior.","5 fotos generales, 16 planos detalle","Luz homogénea, no hay sombras duras ni brillos","Enfoque mejorable, el coche debe destacar sobre el fondo",Exposición correcta,"El color del coche se representa bien, no hay saturación del color","Angulos buenos, se muestra la parte frontal, lateral y opuesta del coche.",Venta de coches,Marca de agua y con etiqueta ECO,"Encuadre bueno, el coche y sus paneles se encuentran centrados",Calidad buena pero tener en cuenta con el enfoque
Ford,,https://www.coches.net/km-0/ford/tourneo-courier/madrid/10-ecoboost-92kw-125cv-titanium-gasolina-de-km0-60547161-kovn.aspx,MUY MALA,Alejandro,Alejandro,OK,El anuncio no poseé fotos.,No hay fotos,No hay fotos,No hay fotos,No hay fotos,No hay fotos,No hay fotos,Venta de coches,No hay fotos,No hay fotos,No se puede calificar
Ford,,https://www.coches.net/km-0/ford/focus/madrid/stline-x-10t-ecoboost-mhev-92kw125cv-electrico-hibrido-de-km0-60561420-kovn.aspx,BIEN,Lautaro,Ramón,OK,19 fotos bien tomadas.,5 fotos generales y 14 plano detalle,"Buena iluminación general, sombras laterales ligeras","Buen enfoque en todas las fotos, reflejo apreciable en fotos detalle","Exposicion correcta, ligeramente sobreexpuesto en fotos detalle",Colores correctos en saturacion y tono,Angulos generales y detalle ligeramente inclinados,Foto en un espacio interior bien iluminado,No se ve una edicion aparente,Encuadres correctos,"Calidad general buena, fotos detalle mejorables al ser tomados con camara de fotos y no con un movil"
Ford,,https://www.coches.net/km-0/ford/focus/madrid/active-10t-ecoboost-mhev-92kw-125cv-electrico-hibrido-de-km0-60209190-kovn.aspx,REGULAR,Alejandro,Santiago,OK,"Fotos, bien iluminadas pero ligeramente torcidas.",Muchas fotos generales en el exterior y detalladas en el interior ,Iluminación homogénea,Un poco borrosas,Exopsición buena,No hay colores saturados,Buen angular para mostrar el cochee,Venta de coches,No presenta ediciñon,Un poco torcido en la foto del malatero,Regulares por estar toecidas y un poco borrosas
Ford,,https://www.coches.net/ford-kuga-stline-x-25-duratec-phev-165kw-auto-5p-electrico-hibrido-2023-en-madrid-60561422-covo.aspx,BIEN,Ramón,Santiago,OK,Las fotos están bien tomadas y muestran el coche en su totalidad.,Se ve el coche desde todos sus angulos,La luz ilumina el coche de forma adecuada,Estan bien enfocadas tanto en los planos generales como detalle,La exposicion es adecuada y no genera zonas quemadas,No se aprecian desviaciones de color,Fotos desde muchos angulos haciendo posible la vista del coche totalmente correcta,Venta de coches,No parecen estar editadas salvo por la marca de agua,El encuadre deja ver todo el coche,Fotos de buena calidad
Ford,,https://www.coches.net/ford-kuga-stline-x-15t-ecoboost-110kw-150cv-5p-gasolina-2022-en-madrid-60179751-covo.aspx,BIEN,Ruben,Alejandro,OK,Las fotos son diversas pero fallan en la iluminación y exposición.,"Muchas fotos (23), que muestran varios planos del coche",la iluminación no es homogénea y varia a lo largo de las fotos tanto en el interior como en el exterior,El enfoque de las fotos es buena no hay borrorsas,La exposicion varia a lo largo de las imagenes y se ven muchas con bastante luz y algunas en el interior con muy poca luz,El color se pierde un poco en algunas fotos,Los angulos son correctos en genral,Venta de coches,No parecen editadas mas alla de la marca de agua,El encuadre es bueno en su mayoria,Fotos de calidad media
Ford,,https://www.coches.net/ford-kuga-stline-25-duratec-phev-165kw-auto-5p-electrico-hibrido-2023-en-madrid-60179679-covo.aspx,BIEN,Alejandro,,OK,Fotos muy buenas pero le faltan un poco de iluminación.,"Pocas fotos, pero bien explicativas y detalladas","Luz homogena,tanto en exterior e interior",Buen enfoque,Le falt aun poc o de exposición excepto en la del maletero,No se nota saturación,Buen angular ,Venta de coches ,No parece estár editadas,Bien encuadrado el coche,Fotos de buena calidad
Ford,,https://www.coches.net/ford-kuga-vignale-25-duratec-phev-165kw-auto-5p-electrico-hibrido-2022-en-madrid-59928298-covo.aspx,MUY MALA,Ramón,Lautaro,OK,No hay fotos en el anuncio.,No hay fotos,No hay fotos,No hay fotos,No hay fotos,No hay fotos,No hay fotos,No hay fotos,No hay fotos,No hay fotos,No hay fotos
Ford,,https://www.coches.net/ford-s-max-20-tdci-panther-110kw-titanium-aut-5p-diesel-2021-en-madrid-60185097-covo.aspx,MUY BIEN,Lautaro,Ramón,OK,19 fotos bien tomadas.,5 fotos generales y 14 plano detalle,iluminación correcta en todas las fotos,Todas las fotos bien enfocadas,Buena exposición,Colores bien nivelados en saturacion y tono,Angulos estables ,Foto en un espacio interior bien iluminado,No se ve una edicion aparente,"Encuadre correcto, solo una foto general el coche se va del cuadro ligeramente","Muy buena calidad general, mejorable en la foto del maletero"
Ford,,https://www.coches.net/ford-kuga-stline-x-25-duratec-fhev-auto-5p-electrico-hibrido-2022-en-madrid-60179681-covo.aspx,BIEN,Ramón,Ruben,OK,Muchas fotos buenas que muestran todo el coche.,Fotos diversas y detalle de los mandos del coche,Tiene una luz homogénea en el exterior pero algunas interiores estan algo oscuras,Estan bien enfocadas sin borrosidad,En general tienen buena exposicion salvo por algunas interiores,No se aprecian desviaciones de color,Son angulos buenos y abarcan todo el coche,Venta de coches ,No parecen estar editadas salvo por la marca de agua,El encuadre deja ver todo el coche,Fotos de buena calidad
Ford,,https://www.coches.net/ford-transit-connect-van-15l-ecoboost-phev-110kw-trend-l2-at-4p-electrico-hibrido-2025-en-madrid-59920437-fuvivo.aspx,REGULAR,Ruben,Alejandro,OK,Varias fotos que dejan ver bien el coche aunque falla la luz.,!8 fotos tomadas con detalle en varios angulos,Su luz no es homogénea y es excesiva a partir de la 8,El enfoque es bueno no hay fotos borrosas,La exposicion es mala en algunas fotos dejandola amarilla,Debido a la alta exposicion genera color amarillo en algunas fotos,Buenos angulos que dejan ver bien las fotos,Venta de coches,No posee signos de edicion aparte de la marca de agua,El encuadre de las imagenes no es malo,Fotos de calidad media
Ford,,https://www.coches.net/ford-kuga-stline-25-duratec-phev-178kw-auto-5p-electrico-hibrido-2024-en-madrid-60179678-covo.aspx,REGULAR,Alejandro,Lautaro,OK,"Pocas fotos, de calidad regular.",Aunque estén detalladas hay fotos en las que la luz no es la mejor,Luz homogénea ,Buen enfoque,Un poco sobreexpuesta en la primera foto,No parece saturada,Buenos ángulos,Venta de coches,No poseé signos de edición,Bien encuadrado el coche,Fotos de calidad medio 
Ford,,https://www.coches.net/ford-focus-st-23-ecoboost-206kw-280cv-5p-gasolina-2024-en-madrid-60561421-covo.aspx,REGULAR,Ramón,Ruben,OK,Las fotos están bien tomadas y muestran el coche en su totalidad.,Se ve el coche desde todos sus angulos,La luz de los planos exteriores es algo debil y oscurece el coche,Esta bien enfocadas,Se podria subir la exposicion para suplir el problema de la luz,No se aprecian desviaciones de color,Son angulos buenos y abarcan todo el coche,Venta de coches,No parecen estar editadas salvo por la marca de agua,El encuadre deja ver todo el coche,Fotos de buena calidad
Ford,,https://www.coches.net/ford-transit-350-96kw-l3-trend-fwd-2p-diesel-2020-en-madrid-60185096-fuvivo.aspx,REGULAR,Santiago,Ramón,OK,"Pocas fotos, la iluminación es mala.",4 fotos generales y 9 fotos detalle,"Luz heterogénea, luz natural, crean sombras fuertes.","Bien enfocadas, la carrocería se encuentra centrada ",Exposición correcta,"El color del coche se aprecia bien, algunas fotos pueden aumentar el brillo del color por la iluminación del sol","Angulos buenos en los planos generales, los planos detalle se encuentra un poco torcidos",Venta de coches,Marca de agua y un enlace,"Encuadres correctos, una foto detalle se va un poco a la izquierda",Calidad mejorable en cuanto a iluminación 
Ford,,https://www.coches.net/ford-focus-st-23-ecoboost-206kw-280cv-5p-gasolina-2024-en-madrid-60561419-covo.aspx,REGULAR,Lautaro,Alejandro,OK,20 fotos de calidad.,5 fotos generales y 15 plano detalle,Ligeramente oscuro en general y por dentro en fotos especificas,Enfoque correcto en todas las fotos,"Exposicion correcta, mejorable para aclarar diversas fotos","Colores correctos, ligeramente saturados","Angulos generales ligeramente inclinados, angulos interiores demasiado cerrados e inclinados",Foto en un espacio interior con iluminación tenue,No se ve una edicion aparente,"Fotos bien encuadradas, ligeramente hacia los lados","Calidad regular, fotos osucuras le reducen la calidad"
Ford,,https://www.coches.net/km-0/ford/explorer-ev/madrid/cx740s-premium-r-ext-rwd-77kwh-286cv-electrico-hibrido-de-km0-59008153-kovn.aspx,REGULAR,Ruben,Santiago,OK,Las imágenes son varias y poseen una luz mala en el interior principalmente.,Hay 19 fotos que perciben varios angulos y se muestran distintos puntos del coche,"La luz no es homogénea, y se excede en interiores",El enfoque es mejorable,La exposicion es muy alta en imagenes de interior ya que el sol se ve de frente,El color es bueno en las primeras fotos pero luego empeora,Los angulos no son malos de fuera pero dentro se pueden apreciar hasta reflejos,Venta de coches,No se ve edicion excepto la marca de agua,El encuadre es mejorable,Calidad media
Ford,,https://www.coches.net/ford-transit-custom-dc-van-bev-64kwh-100kw-320-l1-trend-4p-electrico-hibrido-2025-en-madrid-59576578-fuvivo.aspx,BIEN,Alejandro,Ramón,OK,"Muchas fotos, bien iluminadas.",Buenas fotos detalladas de el interior,Luz homogénea ,Bien enfocadas ,Buena exposición,No parece estar saturada,Fotos desde distintos angulos,Venta de coches,No se ven rastros ,El coche no está recortado de las fotos,Buenas fotos  de buena calidad
Ford,,https://www.coches.net/ford-mustang-mach-e-premium-awd-ran-estan-bat-lfp-242kw-5p-electrico-hibrido-2024-en-madrid-60662964-covo.aspx,BIEN,Adrian,Lautaro,OK,23 fotos de buena calidad general.,5 fotos generales y 18 planos detalle,"iluminación correcta en la mayor parte de fotos, alguna del interior debido a la luz artificial que choca directamente hace que la iluminacion no sea igual en toda la imagen, generando sombras y sobreexposiciones","Bien enfocadas en la mayor parte de las imagenes, alguna foto interior al estar tomada con un movil, se nota mas desenfocada","Buena en general, alguna interior con sobreexposicion y sombras molestas","Colores correctos en la mayor parte de imagenes, alguna imagen del interior tiene problemas en la saturacion del color por la iluminación",Angulos buenos y desde la gran mayoria posibles ,Venta de coches,No parece estar editada,"Encuadre general bueno, alguna interior podria estar mejor encuadrada","Calidad buena, con alguna peor enfocada "
Ford,,https://www.coches.net/km-0/ford/capri/madrid/cx740l-premium-r-ext-rwd-77kwh-286cv-electrico-hibrido-de-km0-60179670-kovn.aspx,BIEN,Ramón,Alejandro,OK,Las fotos están bien tomadas y muestran el coche en su totalidad.,Se ve el coche desde todos sus angulos,La luz ilumina el coche de forma adecuada,Estan bien enfocadas,La exposicion es adecuada y no genera zonas quemadas,No se aprecian desviaciones de color,Fotos desde muchos angulos haciendo posible la vista del coche totalmente correcta,Venta de coches,No parecen estar editadas salvo por la marca de agua,El encuadre deja ver todo el coche,Fotos de buena calidad
Ford,,https://www.coches.net/ford-tourneo-connect-15-ecoboost-phev-active-auto-5p-electrico-hibrido-2025-en-madrid-60253319-covo.aspx,REGULAR,Ruben,Ramón,OK,"Muchísimas fotos, la iluminación es buena en general excepto en varias fotos del final.",27 fotos que no tienen mal detalle,"La luz no es homogénea, y se excede en interiores y en algunas fotos del final ",El encuadre es correcto,La exposicion se sobrepasa en varias fotos dejandolas algo quemadas,Se pierde el color en algunas fotos,El angulo a veces crea reflejos,Venta de coches,No parecen estar editadas salvo por la marca de agua,El encuadre esta bien ,Fotos mejorables en general
Ford,,https://www.coches.net/ford-tourneo-custom-20-ecoblue-125kw-l2-titanium-auto-4p-diesel-2025-en-madrid-60384226-covo.aspx,BIEN,Ramón,Alejandro,OK,Muchas fotos bien detalladas y con buena iluminación.,Las fotos abarcan la totalidad del coche desde los diferentes angulos,La luz ilumina el coche de forma adecuada,Estan bien enfocadas tanto en los planos generales como detalle,"Tienen una buena exposicion, sin provocar partes quemadas ni muy oscuras",No se aprecian desviaciones de color,Fotos desde muchos angulos haciendo posible la vista del coche totalmente correcta,Venta de coches,No parecen estar editadas salvo por la marca de agua,El encuadre deja ver todo el coche,Fotos de buena calidad
Ford,,https://www.coches.net/ford-ranger-20-tdci-157kw-4x4-sup-cab-wildtrack-at-4p-diesel-2020-en-madrid-60596350-covo.aspx,BIEN,Lautaro,Ruben,OK,23 fotos de calidad.,5 fotos generales y 18 plano detalle ,iluminación correcta,Fotos correctamente enfocadas,Exposicion correcta y bien visible,Colores detallados y bien en saturacion y tono,"Angulos generales bien estabilizados, angulos interiores cerrados e inclinados",", revisando la calidad de los anuncios",No hay una edicion aparente,"Encuadre correcto, fotos del maletero salen un poco del encuadre",Fotos de buena calidad
Ford,,https://www.coches.net/km-0/ford/mustang/madrid/50-tivct-v8-331kw-mustang-gt-conv-gasolina-de-km0-60416903-kovn.aspx,BIEN,Alejandro,Lautaro,OK,"Muchas fotos, con buena iluminación en interior y exterior a la vez de detalladas.",Buena iluminación con distintos planos detallados en el interior y exterior,Buena iluminación,Un poco mal enfocadas,Buena exposición ,Sin colores saturados,Mucho sangulos detallados,Venta,No parece estar editada,Bien encuadrada,Fotos de buena calidad
Ford,,https://www.coches.net/km-0/ford/ranger/madrid/30-ecob-215kw-eawd-dob-cab-raptor-at-gasolina-de-km0-59863474-kovn.aspx,MUY BIEN,Santiago,Ruben,OK,"Gran cantidad de fotos, se muestra todos los complementos del coche.",5 fotos generales y 14 planos detalle,"Iluminación homogénea, no se presenta ninguna sombra dura ni brillos, se ilumina uniformemente","Enfoque buenos, se aprecia con detalle.",Buena exposición ,Colores sin saturar y con tono correcto,"Angulos buenos, como en plano general y especialmente en plano detalle",Venta de coches,Marca de agua y etiqueta C,Bien encuadrada,Muy buena en general
Ford,,https://www.coches.net/km-0/ford/ranger/madrid/30-ecob-215kw-eawd-dob-cab-raptor-at-gasolina-de-km0-60296257-kovn.aspx,MALA,Ruben,Santiago,OK,La cantidad de fotos es límite y no tiene muchos ángulos.,15 fotos de las cuales solo 3 enseñan el coche por fuera,La iluminación es homogénea y no se ve mal,El enfoque es correcto en las fotos,La exposicion no es mala,El color apenas se puede apreciar con 3 fotos del exterior,Hay pocos angulos del coche,Venta de coches,No hay signos de edicion excepto la marca de agua,El encuadre es bastante mejorable,La foto es de calidad media
